,NG,Diesel,Electricity,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,133.31600000000000,40.86000000000000,0.00000000000000,40.86000000000000,40.86000000000000,40.86000000000000,40.86000000000000,40.86000000000000,40.86000000000000,40.86000000000000,0.00000000000000
CO,705.99300000000000,459.60000000000000,0.00000000000000,459.60000000000000,229.80000000000000,459.60000000000000,459.60000000000000,459.60000000000000,459.60000000000000,459.60000000000000,0.00000000000000
NOx,832.95200000000000,2133.60000000000000,0.00000000000000,2133.60000000000000,2133.60000000000000,1066.80000000000000,2133.60000000000000,2133.60000000000000,2133.60000000000000,2133.60000000000000,1600.20000000000000
PM10,1.20000000000000,16.98900000000000,0.00000000000000,16.98900000000000,1.69890000000000,11.89230000000000,16.98900000000000,16.98900000000000,16.98900000000000,16.98900000000000,0.00000000000000
PM2.5,1.20000000000000,13.59120000000000,0.00000000000000,13.59120000000000,1.35912000000000,9.51384000000000,13.59120000000000,13.59120000000000,13.59120000000000,13.59120000000000,0.00000000000000
SOx,0.26856561546287,8.03769560140132,0.00000000000000,267.32686674640200,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
BC,0.24000000000000,11.04964560000000,0.00000000000000,11.04964560000000,1.10496456000000,7.73475192000000,11.04964560000000,11.04964560000000,11.04964560000000,11.04964560000000,0.00000000000000
OC,0.51360000000000,2.46000720000000,0.00000000000000,2.46000720000000,0.24600072000000,1.72200504000000,2.46000720000000,2.46000720000000,2.46000720000000,2.46000720000000,0.00000000000000
CH4,500.00000000000000,4.54000000000000,0.00000000000000,4.54000000000000,4.54000000000000,4.54000000000000,4.54000000000000,4.54000000000000,4.54000000000000,4.54000000000000,0.00000000000000
N2O,50.00000000000000,2.00000000000000,0.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,0.00000000000000
CO2,56512.76316041270000,77336.99223770600000,0.00000000000000,84219.17021839310000,67560.50162482130000,69056.00123039940000,75439.14694319370000,79130.95769150190000,75752.46605330260000,74290.33245168690000,0.00000000000000
