Mode of Transport (for the aggregate product slate),Choose Transport Fuel (from drop-down),Emission Factor (g CO2eq. / kgkm),Select Distance Traveled (km),Transport Emissions (kg CO2eq. / bbl of crude)
Pipeline Emissions,Natural Gas,NaN,9758,NaN
Rail Emissions,Diesel,NaN,3,NaN
Heavy-Duty Truck Emissions,Diesel,NaN,219,NaN
Ocean Tanker Emissions,Bunker Fuel,NaN,3,NaN
Barge Emissions,Residual Oil,NaN,9,NaN
