Product Slate,Volume or Mass of Product per Day,Combustion Emission Factors,Emission Factor Units,% Combusted,Total Combustion Emissions (kg CO2eq/day),Total Combustion Emissions Intensity (kg CO2eq. / BOE),Total Combustion CO2 Emissions (kg CO2 /day),Total Combustion CO2 Emissions Intensity (kg CO2 / BOE),Total Combustion CH4 Emissions (kg CH4/ day),Total Combustion CH4 Emissions Intensity (kg CH4. / BOE),Total Combustion N2O Emissions (kg N2O/ day),Total Combustion N2O Emissions Intensity (kg N2O / BOE)
Gasoline,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jet Fuel,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Diesel,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fuel Oil,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Coke,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Residual fuels,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Liquefied Petroleum Gases (LPG),NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sum,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
