Product Slate,Volume or Mass of Product per Day,Product Slate Components,Combustion Emission Factors ,Emission Factor Units,% Combusted,Total Combustion Emissions (kg CO2eq. / day) ,Total Combustion Emissions Intensity (kg CO2eq. / BOE) ,Total Combustion CO2 Emissions (kg CO2 /day),Total Combustion CO2 Emissions Intensity (kg CO2 / BOE) ,Total Combustion CH4 Emissions (kg CH4/ day),Total Combustion CH4 Emissions Intensity (kg CH4. / BOE) ,Total Combustion N2O Emissions (kg N2O/ day),Total Combustion N2O Emissions Intensity (kg N2O / BOE) 
Coke,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
