Product Slate,Volume or Mass of Product per Day,Units,Product Slate Components,Process,Emission Factors ,Emission Factor Units,Total Process Emissions (kg CO2eq.) ,Total Process Emissions Intensity (kg CO2eq./boe total) ,Total Process CO2 Emissions (kg CO2) ,Total Process CO2 Emissions Intensity (kg CO2/boe total) ,Total Process CH4 Emissions (kg CH4) ,Total ProcessCH4  Emissions Intensity (kg CH4/boe total) ,Total Process N2O Emissions (kg N2O) ,Total Process N2O Emissions Intensity (kg N2O./boe total) 
Ethane,NaN,BOED,Ethane,Ethylene conversion,NaN,kg CO2eq./BOE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Petrochemical Feedstocks,NaN,BOED,Ethane,Ethylene conversion,NaN,kg CO2eq./BOE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
