Mode of Transport,Diesel,LNG,DME,FTD,Ethanol,Methanol,LPG,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
Heavy-Duty Truck Forward Journey (full load),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heavy-Duty Truck Backhaul (full load),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heavy-Duty Truck Emissions (full load),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
