Mode of Transport,Natural Gas,LNG,Diesel,Bunker Fuel,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen,Ethanol,Methanol
Pipeline Emissions,9.24,NaN,3.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rail Emissions,NaN,NaN,5.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heavy-Duty Truck Emissions,NaN,NaN,1.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ocean Tanker Emissions,NaN,NaN,NaN,4.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Barge Emissions,NaN,NaN,NaN,NaN,2.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
