Product,Gasoline,Jet Fuel,Diesel,Fuel Oil,Coke,Residual fuels,Liquefied Petroleum Gases (LPG),Petrochemical Feedstocks,Asphalt,Sulphur,Surplus RFG,Surplus NCR H2,Ethane,Propane,Butane,Pentanes Plus,NGLs
Emissions Factor (g CO2eq/kg product),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2 Emissions Factor (g CO2/kg product),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CH4 Emissions Factor (g CH4/kg product),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2O Emissions Factor (g N2O/kg product),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
