,Algeria Hassi R’Mel,Angola Girassol,Angola Kuito,Angola Takula,Australia Cossack,Azerbaijan Azeri,Brazil Frade,Brazil Lula,Canada Hibernia,China Bozhong,China Nanhai Light,China Qinhuangdao,Colombia Caño Limón,Colombia Cusiana,Ecuador Sacha,India Bombay High,Indonesia Duri,Indonesia Minas,Iran Aboozar,Iran Marun,Iraq Kirkuk,Iraq Rumaila,Iraq West Qurna,Iraq Zubair,Kazakhstan Tengiz,Kuwait Burgan,Kuwait Ratawi,Libya Waha,Mexico Chuc,Nigeria Agbami,Nigeria Bonga,Nigeria Bonny,Nigeria Escravos Beach,Nigeria Obagi,Nigeria Pennington,Norway Ekofisk,Norway Oseberg,Norway Skarv,Qatar Bul Hanine,Qatar Dukhan,Russia Romashkinskoye,Russia Samotlor,Saudi Arabia Ghawar,Saudi Arabia Safaniya,Saudi Arabia Zuluf,United Arab Emirates Fateh,United Arab Emirates Murban,U.S.  Alaska North Slope,U.S. Bakken Flare,U.S. Bakken No Flare,U.S. Texas Eagle Ford Black Oil Zone,U.S. Texas Eagle Ford Volatile Oil Zone,U.S. Texas Eagle Ford Condensate Zone,U.S.  East Texas Field,U.S. Louisiana Lake Washington Field,U.S. Gulf Mars,U.S. California Midway Sunset,U.S. Wyoming Salt Creek,U.S. California South Belridge,U.S. Texas Spraberry,U.S. Gulf Thunder Horse,U.S. Wyoming WC,U.S. California Wilmington,U.S. Texas Yates,Venezuela Hamaca SCO,Venezuela Tia Juana,Canada Cold Lake CSS Dilbit,Canada Athabasca SAGD Dilbit,Canada Athabasca DC SCO,Canada Athabasca FC-HC SCO,Denmark Dansk Blend,Mexico Cantarell,Russia Chayvo,UK Forties Blend,Venezuela Merey Blend
Liquefied Petroleum Gases (LPG),4078.575832,1436.013344,5966.874498,1636.769372,1971.902899,1289.082464,6219.805738,1972.506155,1588.689405,5783.628572,1398.876126,5638.218157,1623.339501,2113.796147,1651.07015,1928.624973,7227.151985,924.0441143,1400.531388,1787.628034,2056.010029,1720.183438,1214.683916,1801.392861,2384.941838,1338.192,1114.35931,1662.063711,2073.847263,1577.401664,1688.518134,1530.062914,928.1596747,1530.062914,1438.885303,1674.869505,2052.405931,1796.623889,1556.361429,2137.72664,1791.306718,1779.564649,1859.310304,1540.877205,1669.905823,1962.685762,2238.697131,1841.27964,1951.652004,1951.652004,2034.637482,2699.162967,3906.35193,1671.159504,1634.805952,1879.115922,5866.254513,1576.18845,7113.075543,2007.634799,1990.541078,1576.18845,6746.801527,2140.89466,1581.798661,6040.836676,5072.548694,5000.44528,1060.145349,1178.015596,1343.311626,1349.528496,1820.895303,2340.242393,6464.599049
Petrochemical Feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Asphalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy_flow_MJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,402661594.7,158208773.8,241756398.7,192513216.9,153298642.5,90267746.22,242121491.7,240015343.6,181974702.9,225121202.8,95164454.81,220275445.7,165845704.3,223719522.3,157899028.4,144018343.2,242818348,62146773.57,161556369.3,185539978.5,200645795.7,180526254.2,120973762.2,183348777.2,205434524.9,130246025.6,104124758.2,167306732.2,194931918,109756835.2,182762774.4,117851999.7,62673603.59,117851999.7,92324602.42,142557781.4,161272366.3,129189323.1,148517304.4,215423930.8,180404542.5,128280556.8,185370704.6,165034852.8,169029191.7,192255091.3,222358674.1,185495795.4,142882011.5,142882011.5,171546791.8,237342213.2,373616157.2,135754203.9,113299330.7,162900986.8,256446193.6,124997577.3,248832524.6,151232895.8,205179071.5,124997577.3,280362096.6,207788430.9,207236160.7,207604553.1,232976869.6,241641757.6,79378571.21,84342163.75,88112322.7,130014942.6,135087175.2,235668165.2,282072032.2
Jet Fuel,39837610.35,98126803.98,54484505.27,85371180.95,104348655.6,127784516.3,49148824.23,98494094.7,100838991.2,43926937.88,122546036.1,50938450.1,118568603.4,132602484.4,127210034.7,143210272.9,30657631.62,95693609.21,105135120.7,108425978.7,108633047.1,108747361.3,87925714.65,85441516.88,140908878.9,89473051.99,76842911.84,96551499.15,106838980.2,129802741.1,172224880.7,149973643.1,56457796.58,149973643.1,117124978.9,112991998.7,125542318.9,111059330.6,92989817.02,116955440.5,107884868.2,127853690.5,117851570.2,93003713.62,106729819,112004103.6,118827204.4,91363966.96,131503423.7,131503423.7,129803502.9,131144159,76454821.59,127272964.2,149780313.9,86493011.21,91405239.22,127035447.2,51560100.8,124120922.3,101253997.1,127035447.2,56057749.14,117228206,112323245.2,55223193.03,60719052.81,60198736.29,158075249.2,152328152.5,95894038.33,83804634.83,127684416.8,87311115.38,69765867.57
Diesel,2317216.774,129356411.8,185084562.4,102439539.2,36255802.93,60764898.67,195891635.8,155935467.6,78066748.54,212253583,55254291.7,219997179,97040285,109209092.4,99477482.52,40963924.05,189153738.7,46464273.75,102681055.4,94185505.77,112885419,99428059.81,99047134.79,110307500.6,86506259.34,132517508.7,79918183.15,95563072.33,99346616.8,41311780.52,106820891.8,72642918.33,78531154.79,72642918.33,72094897.64,43230331.33,45500215.67,66194097.72,94459121.52,79075238.64,102118697.6,44037100.4,98200140.21,96198305.27,102399154.8,107142930.6,103071514.9,100183066.6,54492148.89,54492148.89,55283206.29,46492635.64,8164628.681,46672714.15,60649588.61,124350083.9,155301328.1,49337133.62,204751134.5,42948059.83,108223379.7,49337133.62,171984238.4,100578190.4,111617073.6,196382968,150184768.8,140073254.7,100818907.4,89609623.42,44844714.19,93785816.25,60543647.02,111756759.3,99700087.32
Fuel Oil,920856.1042,7.26E-05,0.000173091,4.98E-05,53842774.14,65435812.3,0.000193407,0.000111724,3.02E-05,0.000196846,71617897.06,0.000207246,4.47E-05,5.68E-05,5.26E-05,54179692.85,0.000190701,70558663.31,6.21E-05,5.20E-05,6.83E-05,6.39E-05,7.57E-05,7.54E-05,4.07E-05,0.000107261,5.88E-05,4.14E-05,6.04E-05,61398241.4,1.74E-05,64682281.91,76647823.55,64682281.91,59510095.39,52231489.42,47810919.03,59651950.38,7.50E-05,4.09E-05,6.28E-05,43238562.05,5.83E-05,6.17E-05,6.26E-05,6.74E-05,5.27E-05,6.17E-05,53616794.38,53616794.38,50240047.31,37759414.85,4763728.428,46042751.72,49031388.01,7.08E-05,0.000151529,43184186.91,0.000200603,47764977.93,7.13E-05,43184186.91,0.000162803,6.85E-05,7.07E-05,0.000181644,0.000127721,0.000130636,105226586,93301680.01,49224922.72,5.22E-05,37770923.88,5.74E-05,4.99E-05
Coke,1.46E-11,6.07E-14,52235911.74,7.21E-14,1.35E-13,4.44E-14,52145334.44,2.35E-13,3.11E-14,70423240.64,8.43E-14,62763276.67,6.39E-14,6.34E-14,1.22E-13,6.97E-14,68848664.71,7.18E-14,1.04E-13,1.04E-13,1.57E-13,1.33E-13,1.26E-13,1.27E-13,1.89E-14,1.24E-13,1.14E-13,5.28E-14,1.04E-13,2.82E-14,3.84E-14,6.30E-14,8.10E-15,6.30E-14,6.21E-14,6.15E-14,7.81E-14,6.93E-14,7.83E-14,5.34E-14,8.40E-14,9.27E-14,8.72E-14,1.13E-13,1.14E-13,1.17E-13,2.03E-13,9.42E-14,7.26E-14,7.26E-14,8.73E-16,5.82E-34,1.86E-15,7.21E-14,4.92E-14,1.08E-13,36478193.01,8.48E-14,52668544.68,3.76E-14,1.07E-13,8.48E-14,42435784.08,1.01E-13,1.79E-13,101947465.5,91192906.55,89654811.63,5.81E-15,2.91E-14,3.34E-14,1.53E-13,2.99E-14,7.05E-14,100172380
Residual fuels,454410.074,173496870.5,23600695.82,172278482.3,158299936.4,193879894.2,25533206.79,65291566.23,183619582.1,26275297.18,186676061.2,27107578.71,177699090.1,70682498.95,175043216.5,153912915.3,26317605.42,275458803.3,190699562.9,162520179.5,114197458.9,160553025.7,244703191.6,168646726.4,68966752.39,215041463.9,295548126.5,177899796.7,140128649.8,159855443.2,101929063.4,152864417.9,271066517.1,152864417.9,197999187.5,181028479.8,146398001.8,171165770.6,206083951.8,102947479.8,157541423.9,193104066.7,140043934.4,204343428.2,176673988.6,137025583.6,77787865.66,173126121.2,149653045,149653045,111502288,43624545.69,2880055.209,182149943.4,167662800.2,180981117,21105657.27,191825779.4,27351340.71,157416803,129615446.3,191825779.4,22729834.97,113485758.3,136418687,23428090.28,16038186.65,16153360.68,107626404,130106493,282146653.7,263479886.1,177610499.6,93348620.7,20521724.3
