,Algeria Hassi R’Mel,Angola Girassol,Angola Kuito,Angola Takula,Australia Cossack,Azerbaijan Azeri,Brazil Frade,Brazil Lula,Canada Hibernia,China Bozhong,China Nanhai Light,China Qinhuangdao,Colombia Caño Limón,Colombia Cusiana,Ecuador Sacha,India Bombay High,Indonesia Duri,Indonesia Minas,Iran Aboozar,Iran Marun,Iraq Kirkuk,Iraq Rumaila,Iraq West Qurna,Iraq Zubair,Kazakhstan Tengiz,Kuwait Burgan,Kuwait Ratawi,Libya Waha,Mexico Chuc,Nigeria Agbami,Nigeria Bonga,Nigeria Bonny,Nigeria Escravos Beach,Nigeria Obagi,Nigeria Pennington,Norway Ekofisk,Norway Oseberg,Norway Skarv,Qatar Bul Hanine,Qatar Dukhan,Russia Romashkinskoye,Russia Samotlor,Saudi Arabia Ghawar,Saudi Arabia Safaniya,Saudi Arabia Zuluf,United Arab Emirates Fateh,United Arab Emirates Murban,U.S.  Alaska North Slope,U.S. Bakken Flare,U.S. Bakken No Flare,U.S. Texas Eagle Ford Black Oil Zone,U.S. Texas Eagle Ford Volatile Oil Zone,U.S. Texas Eagle Ford Condensate Zone,U.S.  East Texas Field,U.S. Louisiana Lake Washington Field,U.S. Gulf Mars,U.S. California Midway Sunset,U.S. Wyoming Salt Creek,U.S. California South Belridge,U.S. Texas Spraberry,U.S. Gulf Thunder Horse,U.S. Wyoming WC,U.S. California Wilmington,U.S. Texas Yates,Venezuela Hamaca SCO,Venezuela Tia Juana,Canada Cold Lake CSS Dilbit,Canada Athabasca SAGD Dilbit,Canada Athabasca DC SCO,Canada Athabasca FC-HC SCO,Denmark Dansk Blend,Mexico Cantarell,Russia Chayvo,UK Forties Blend,Venezuela Merey Blend
Diesel,56118.09608,3130010.932,4480095.988,2476898.432,878038.971,1471597.504,4743312.743,3772581.73,1888040.69,5141749.851,1338142.242,5331259.763,2346905.011,2642776.662,2407536.147,992059.7205,4575944.859,1125266.573,2485359.733,2278511.511,2734063.519,2407331.296,2402273.609,2672640.932,2092024.6,3214510.697,1936335.033,2312120.036,2404177.768,1000484.069,2587385.045,1759258.053,1901858.703,1759258.053,1745986.149,1046947.318,1101919.122,1603081.238,2291146.284,1912684.779,2471245.775,1066485.561,2375799.192,2328267.779,2478199.973,2592410.45,2494773.085,2426157.477,1319684.753,1319684.753,1338842.493,1125953.438,197730.0621,1130314.559,1468804.938,3012426.635,3758155.326,1194841.171,4955176.513,1040111.299,2620596.597,1194841.171,4161394.76,2433636.34,2702118.881,4760712.998,3642221.643,3398839.135,2441620.999,2170155.815,1086044.261,2270650.39,1466239.257,2705848.549,2408515.042
Fuel Oil,22485.78,1.75E-06,4.19E-06,1.20E-06,1320038.145,1609475.408,4.68E-06,2.70E-06,7.26E-07,4.77E-06,1748136.133,5.02E-06,1.08E-06,1.37E-06,1.27E-06,1328127,4.61E-06,1725395.926,1.50E-06,1.26E-06,1.66E-06,1.55E-06,1.84E-06,1.83E-06,9.80E-07,2.61E-06,1.43E-06,1.00E-06,1.46E-06,1503633.555,4.22E-07,1609417.495,1906999.796,1609417.495,1481223.292,1289105.248,1180692.66,1476330.9,1.82E-06,9.86E-07,1.52E-06,1073313.6,1.41E-06,1.49E-06,1.51E-06,1.63E-06,1.27E-06,1.49E-06,1323034.952,1323034.952,1235729.029,920885.9053,116690.1615,1134989.7,1207764,1.72E-06,3.67E-06,1066953.6,4.85E-06,1174851,1.73E-06,1066953.6,3.94E-06,1.66E-06,1.71E-06,4.41E-06,3.10E-06,3.17E-06,2609979.726,2314201.215,1226006.485,1.26E-06,937071.905,1.39E-06,1.20E-06
Coke,4.01E-13,1.67E-15,1436579.267,1.98E-15,3.72E-15,1.22E-15,1434088.233,6.47E-15,8.54E-16,1936762.738,2.32E-15,1726100.283,1.76E-15,1.74E-15,3.36E-15,1.92E-15,1893459.136,1.97E-15,2.86E-15,2.85E-15,4.32E-15,3.65E-15,3.46E-15,3.49E-15,5.19E-16,3.42E-15,3.14E-15,1.45E-15,2.86E-15,7.76E-16,1.06E-15,1.73E-15,2.23E-16,1.73E-15,1.71E-15,1.69E-15,2.15E-15,1.90E-15,2.15E-15,1.47E-15,2.31E-15,2.55E-15,2.40E-15,3.11E-15,3.14E-15,3.21E-15,5.58E-15,2.59E-15,2.00E-15,2.00E-15,2.40E-17,1.60E-35,5.12E-17,1.98E-15,1.35E-15,2.98E-15,1003214.341,2.33E-15,1448477.433,1.03E-15,2.95E-15,2.33E-15,1167058.554,2.78E-15,4.93E-15,2803734.259,2507965.01,2465664.699,1.60E-16,7.99E-16,9.18E-16,4.22E-15,8.23E-16,1.94E-15,2754916.292
Residual fuels,11242.89,4373309.998,611454.766,4336361.685,3897255.476,4828426.224,661522.9102,1654735.879,4578389.126,680749.2378,4600358.246,702312.2675,4486754.632,1779050.102,4436661.547,3785161.95,681845.3738,6820068.935,4963171.494,4138489.639,3000539.915,4174728.539,6446240.398,4311489.447,1755750.469,5586110.24,7719597.459,4435344.306,3545486.181,4009689.481,2570145.585,3701424.299,6810713.558,3701424.299,4982296.527,4556867.934,3672098.64,4294780.8,5185853.34,2630424.358,4002789.162,4829911.2,3551511.762,5227454.773,4498613.646,3492657.4,1971419.007,4394852.887,3704497.867,3704497.867,2768386.255,1081685.183,67680.29368,4539958.8,4160076,4602984.658,546812.4679,4801291.2,708627.7355,3916170,3288680.878,4801291.2,588892.2101,2876399.143,3612238.583,606982.8436,415522.7346,418506.702,2702609.487,3267107.598,7083593.027,6876173.203,4417624.695,2365003.115,531683.7362
Sulphur,52.28916502,18920.77814,85629.88757,11655.2841,1000.934563,2636.610439,79786.48209,27345.24352,20851.37855,29562.87365,750.9854578,30310.07304,20777.74506,77117.2238,39099.2058,4434.460642,23282.59457,1024.172298,105487.2518,70105.4754,133439.5703,130814.9847,262879.2249,152171.9593,51216.19258,178049.0032,130863.6912,34901.88208,73330.90566,804.8347057,9636.589511,4282.122112,2351.550687,4282.122112,3096.279356,4667.022462,4531.196391,7438.33176,159044.6678,103515.8764,70465.98162,8384.625132,96338.78086,109802.9886,132976.7445,127718.5541,68108.84264,42440.22477,3149.946222,3149.946222,1482.694167,2879.443486,1442.949546,3507.787917,10503.14522,85782.52098,117942.9968,4439.117231,16407.92911,7186.612779,42498.94181,4439.117231,-1.150295913,91073.33169,36589.2186,268253.0068,390313.8532,353043.3949,7393.663927,3144.43063,3455.96754,102100.2065,6585.35886,50040.878,233208.0443
Surplus RFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus NCR H2,117205.3542,0,0,0,28848.21966,17781.65401,0,0,0,0,28805.02987,0,0,0,0,0,0,17625.95359,0,0,0,0,0,0,0,0,0,0,0,40416.89666,0,0,6508.554405,0,7118.805408,0,3928.41469,7890.873764,0,0,0,30946.317,0,0,0,0,0,0,9717.935394,9717.935394,37372.19759,14129.87106,56510.02006,7940.693619,5958.429113,0,0,3265.568809,0,18111.2701,0,3265.568809,0,0,41737.64691,0,0,0,6393.014381,8997.764678,11952.2115,0,0,0,0
Liquefied Petroleum Gases (LPG),329410.2556,115981.0537,481920.5857,132195.3151,159262.7095,104114.0343,502348.8302,159311.4321,128312.0885,467120.5452,112981.6292,455376.3277,131110.6381,170722.8596,133350.3318,155767.3246,583708.1573,74631.34693,113115.3181,144379.5658,166055.706,138932.3355,98105.16114,145491.2958,192622.2125,108080.4151,90002.34404,134238.2377,167496.348,127400.4228,136374.8556,123577.0613,74963.74429,123577.0613,116213.0104,135272.5105,165764.6174,145106.1251,125701.0872,172655.6298,144676.6784,143728.3184,150169.056,124450.4884,134871.6137,158518.2782,180810.6125,148712.7914,157627.1258,157627.1258,164329.5309,218000.5962,315500.42,134972.8685,132036.7375,151768.6766,473793.912,127302.4364,574494.6593,162148.6322,160768.0407,127302.4364,544912.1721,172911.4981,127755.5506,487894.2149,409689.4678,403865.9635,85623.69928,95143.6076,108493.9068,108996.0185,147066.4301,189012.0171,522119.8068
Petrochemical Feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asphalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Upstream Petcoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056127.611,0,0,0,3734915.346,2076701.066,0,0,0,0,0
