Emissions,kg CO2e/bbl Natural Gas Liquids (LHV),kg CO2e/bbl Natural Gas Liquids (HHV),kg CO2e/bbl total input (LHV),kg CO2e/bbl total input (HHV)
VOC,NaN,NaN,NaN,NaN
CO,NaN,NaN,NaN,NaN
NOx,NaN,NaN,NaN,NaN
PM10,NaN,NaN,NaN,NaN
PM2.5,NaN,NaN,NaN,NaN
SOx,NaN,NaN,NaN,NaN
CH4,NaN,NaN,NaN,NaN
N2O,NaN,NaN,NaN,NaN
CO2,NaN,NaN,NaN,NaN
BC,NaN,NaN,NaN,NaN
POC,NaN,NaN,NaN,NaN
Sum,NaN,NaN,NaN,NaN
