Resources,MJ,LHV btu/gal,HHV btu/gal,bbl (LHV),bbl (HHV)
Crude Naphtha,23,116920,125080,NaN,NaN
Natural Gas Liquids,30,83686,90050,NaN,NaN
Propane,1.547,84250,91420,NaN,NaN
Butane,0.25522,94970,103220,NaN,NaN
Sum,NaN,NaN,NaN,NaN,NaN
