,Gasoline,Diesel,Jet Fuel,Residual Oil,Petcoke,Liquefied Petroleum Gases (LPG)
Ocean Tanker Forward Journey,NaN,NaN,NaN,NaN,NaN,NaN
Ocean Tanker Backhaul,NaN,NaN,NaN,NaN,NaN,NaN
Barge Forward Journey,NaN,NaN,NaN,NaN,NaN,NaN
Barge Backhaul,NaN,NaN,NaN,NaN,NaN,NaN
