,Gasoline,Diesel,Jet Fuel,Residual Oil,Petcoke,Liquefied Petroleum Gases (LPG)
Ocean Tanker,NaN,NaN,NaN,NaN,NaN,NaN
Barge,NaN,NaN,NaN,NaN,NaN,NaN
