,Gasoline,Diesel,Jet Fuel,Residual Oil,Petcoke,Liquefied Petroleum Gases (LPG)
Ocean Tanker,90000,100000,100000,100000,100000,72575
Barge,20000,22500,22500,22500,22500,16329
