Petroleum Products,mmBtu per gallon,kg CO2 per mmBtu,g CH4 per mmBtu,g N2O per mmBtu,kg CO2 per gallon,g CH4 per gallon,g N2O per gallon,Total GHGs (kg CO2eq. per gallon),Total GHGs (kg CO2eq. per bbl)
Natural Gas Liquid Average Estimate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
