Product Slate Components,Combustion Emission Factors ,Emission Factor Units,% Combusted,Total Combustion Emissions (kg CO2eq. / bbl of crude) 
Gasoline,NaN,kg CO2eq. / bbl,5,NaN
Jet Fuel,NaN,kg CO2eq. / bbl,2,NaN
Diesel,NaN,kg CO2eq. / bbl,2,NaN
Fuel Oil,NaN,kg CO2eq. / bbl,5,NaN
Coke,NaN,kg CO2eq. / kg,4,NaN
Residual fuels,NaN,kg CO2eq. / bbl,3,NaN
Liquefied Petroleum Gases (LPG),NaN,kg CO2eq. / bbl,9,NaN
