Mode of Transport,NG,Diesel,Electricity,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
Pipeline Turbine,None,None,None,None,None,None,None,None,None,None,None
Pipeline Reciprocating Engine: Current,None,None,None,None,None,None,None,None,None,None,None
Pipeline Reciprocating Engine: Future,None,None,None,None,None,None,None,None,None,None,None
Pipeline,None,None,None,None,None,None,None,None,None,None,None
