Mode of Transport,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
Rail - Forward Trip,None,None,None,None,None,None,None,None,None
Rail - Backhaul,None,None,None,None,None,None,None,None,None
Rail Emissions,None,None,None,None,None,None,None,None,None
