,Fuel Economy (miles/diesel gallon),Energy Consumption (Btu/km),Cargo Payload (kg)
Trip From Product Origin to Destination,5.3,15059.49585,22720.375
Trip From Product Destination Back to Origin,5.3,15059.49585,22720.375
