,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,58.38795872976650,58.38795872976650,58.38795872976650,58.38795872976650,58.38795872976650,58.38795872976650,58.38795872976650,58.38795872976650,0.00000000000000
CO,206.53033485728400,103.26516742864200,103.26516742864200,206.53033485728400,206.53033485728400,206.53033485728400,206.53033485728400,206.53033485728400,0.00000000000000
NOx,1139.87396515507000,1139.87396515507000,1139.87396515507000,569.93698257753600,1139.87396515507000,1139.87396515507000,1139.87396515507000,1139.87396515507000,854.90547386630400
PM10,30.27307549734340,3.02730754973434,3.02730754973434,21.19115284814040,30.27307549734340,30.27307549734340,30.27307549734340,30.27307549734340,0.00000000000000
PM2.5,29.36488323242310,2.93648832324231,2.93648832324231,20.55541826269620,29.36488323242310,29.36488323242310,29.36488323242310,29.36488323242310,0.00000000000000
SOx,8.03769560140132,0.26856561546287,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
BC,2.46665019152354,0.24666501915235,0.24666501915235,1.72665513406648,2.46665019152354,2.46665019152354,2.46665019152354,2.46665019152354,0.00000000000000
OC,26.01728654392680,2.60172865439268,2.60172865439268,18.21210058074880,26.01728654392680,26.01728654392680,26.01728654392680,26.01728654392680,0.00000000000000
CH4,6.82451121101807,136.49022422036100,6.82451121101807,6.82451121101807,6.82451121101807,6.82451121101807,6.82451121101807,6.82451121101807,0.00000000000000
N2O,2.13213835208862,2.13213835208862,2.13213835208862,2.13213835208862,2.13213835208862,2.13213835208862,2.13213835208862,2.13213835208862,0.00000000000000
CO2,77673.76192953500000,58693.08450933020000,67698.43086546680000,69392.77092222840000,75775.91663502270000,79467.72738333090000,76089.23574513160000,74627.10214351590000,0.00000000000000
