Mode of Transport,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
Rail - Forward Trip,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rail - Backhaul,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rail Emissions,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
